Date,Open,Close,High,Low,RSI
2022-01-01,100.0,100.0,101.0,99.0,50
2022-01-02,100.1,100.1,101.1,99.1,51
2022-01-03,100.2,100.2,101.2,99.2,52
2022-01-04,100.3,100.3,101.3,99.3,53
2022-01-05,100.4,100.4,101.4,99.4,54
2022-01-06,100.5,100.5,101.5,99.5,55
2022-01-07,100.6,100.6,101.6,99.6,56
2022-01-08,100.7,100.7,101.7,99.7,57
2022-01-09,100.8,100.8,101.8,99.8,58
2022-01-10,100.9,100.9,101.9,99.9,59
2022-01-11,101.0,101.0,102.0,100.0,60
2022-01-12,101.1,101.1,102.1,100.1,61
2022-01-13,101.2,101.2,102.2,100.2,62
2022-01-14,101.3,101.3,102.3,100.3,63
2022-01-15,101.4,101.4,102.4,100.4,64
2022-01-16,101.5,101.5,102.5,100.5,65
2022-01-17,101.6,101.6,102.6,100.6,66
2022-01-18,101.7,101.7,102.7,100.7,67
2022-01-19,101.8,101.8,102.8,100.8,68
2022-01-20,101.9,101.9,102.9,100.9,69
2022-01-21,102.0,102.0,103.0,101.0,70
2022-01-22,102.1,102.1,103.1,101.1,71
2022-01-23,102.2,102.2,103.2,101.2,72
2022-01-24,102.3,102.3,103.3,101.3,73
2022-01-25,102.4,102.4,103.4,101.4,74
2022-01-26,102.5,102.5,103.5,101.5,75
2022-01-27,102.6,102.6,103.6,101.6,76
2022-01-28,102.7,102.7,103.7,101.7,77
2022-01-29,102.8,102.8,103.8,101.8,78
2022-01-30,102.9,102.9,103.9,101.9,79
2022-01-31,103.0,103.0,104.0,102.0,80
2022-02-01,103.1,103.1,104.1,102.1,81
2022-02-02,103.2,103.2,104.2,102.2,82
2022-02-03,103.3,103.3,104.3,102.3,83
2022-02-04,103.4,103.4,104.4,102.4,84
2022-02-05,103.5,103.5,104.5,102.5,85
2022-02-06,103.6,103.6,104.6,102.6,86
2022-02-07,103.7,103.7,104.7,102.7,87
2022-02-08,103.8,103.8,104.8,102.8,88
2022-02-09,103.9,103.9,104.9,102.9,89
2022-02-10,104.0,104.0,105.0,103.0,90
2022-02-11,104.1,104.1,105.1,103.1,91
2022-02-12,104.2,104.2,105.2,103.2,92
2022-02-13,104.3,104.3,105.3,103.3,93
2022-02-14,104.4,104.4,105.4,103.4,94
2022-02-15,104.5,104.5,105.5,103.5,95
2022-02-16,104.6,104.6,105.6,103.6,96
2022-02-17,104.7,104.7,105.7,103.7,97
2022-02-18,104.8,104.8,105.8,103.8,98
2022-02-19,104.9,104.9,105.9,103.9,99
2022-02-20,105.0,105.0,106.0,104.0,50
2022-02-21,105.1,105.1,106.1,104.1,51
2022-02-22,105.2,105.2,106.2,104.2,52
2022-02-23,105.3,105.3,106.3,104.3,53
2022-02-24,105.4,105.4,106.4,104.4,54
2022-02-25,105.5,105.5,106.5,104.5,55
2022-02-26,105.6,105.6,106.6,104.6,56
2022-02-27,105.7,105.7,106.7,104.7,57
2022-02-28,105.8,105.8,106.8,104.8,58
2022-03-01,105.9,105.9,106.9,104.9,59
2022-03-02,106.0,106.0,107.0,105.0,60
2022-03-03,106.1,106.1,107.1,105.1,61
2022-03-04,106.2,106.2,107.2,105.2,62
2022-03-05,106.3,106.3,107.3,105.3,63
2022-03-06,106.4,106.4,107.4,105.4,64
2022-03-07,106.5,106.5,107.5,105.5,65
2022-03-08,106.6,106.6,107.6,105.6,66
2022-03-09,106.7,106.7,107.7,105.7,67
2022-03-10,106.8,106.8,107.8,105.8,68
2022-03-11,106.9,106.9,107.9,105.9,69
2022-03-12,107.0,107.0,108.0,106.0,70
2022-03-13,107.1,107.1,108.1,106.1,71
2022-03-14,107.2,107.2,108.2,106.2,72
2022-03-15,107.3,107.3,108.3,106.3,73
2022-03-16,107.4,107.4,108.4,106.4,74
2022-03-17,107.5,107.5,108.5,106.5,75
2022-03-18,107.6,107.6,108.6,106.6,76
2022-03-19,107.7,107.7,108.7,106.7,77
2022-03-20,107.8,107.8,108.8,106.8,78
2022-03-21,107.9,107.9,108.9,106.9,79
2022-03-22,108.0,108.0,109.0,107.0,80
2022-03-23,108.1,108.1,109.1,107.1,81
2022-03-24,108.2,108.2,109.2,107.2,82
2022-03-25,108.3,108.3,109.3,107.3,83
2022-03-26,108.4,108.4,109.4,107.4,84
2022-03-27,108.5,108.5,109.5,107.5,85
2022-03-28,108.6,108.6,109.6,107.6,86
2022-03-29,108.7,108.7,109.7,107.7,87
2022-03-30,108.8,108.8,109.8,107.8,88
2022-03-31,108.9,108.9,109.9,107.9,89
2022-04-01,109.0,109.0,110.0,108.0,90
2022-04-02,109.1,109.1,110.1,108.1,91
2022-04-03,109.2,109.2,110.2,108.2,92
2022-04-04,109.3,109.3,110.3,108.3,93
2022-04-05,109.4,109.4,110.4,108.4,94
2022-04-06,109.5,109.5,110.5,108.5,95
2022-04-07,109.6,109.6,110.6,108.6,96
2022-04-08,109.7,109.7,110.7,108.7,97
2022-04-09,109.8,109.8,110.8,108.8,98
2022-04-10,109.9,109.9,110.9,108.9,99
